ProductID;Productnaam;Kleur;Grootte;Prijs;Productklasse
2210;Triumph Vertigo Helmet;black;3;€ 53,90;Accessory-Helmets
2211;Triumph Vertigo Helmet;red;3;€ 53,90;Accessory-Helmets
2212;Triumph Vertigo Helmet;white;3;€ 53,90;Accessory-Helmets
2213;Triumph Vertigo Helmet;black;4;€ 53,90;Accessory-Helmets
2214;Triumph Vertigo Helmet;red;4;€ 53,90;Accessory-Helmets
2215;Triumph Vertigo Helmet;white;4;€ 53,90;Accessory-Helmets
3301;Guardian Chain Lock;Chrome;2;€ 4,50;Accessory-Locks
3302;"Guardian ""U"" Lock";Chrome;2;€ 17,50;Accessory-Locks
3303;"Guardian XL ""U"" Lock";Chrome;2;€ 19,90;Accessory-Locks
3304;Guardian ATB Lock;Chrome;2;€ 21,90;Accessory-Locks
3305;Guardian Mini Lock;Chrome;1;€ 21,90;Accessory-Locks
5301;Xtreme Mtn Lock;Chrome;1;€ 11,90;Accessory-Locks
5302;Xtreme Rhino Lock;Chrome;3;€ 9,98;Accessory-Locks
5303;Xtreme Titan Lock;Chrome;3;€ 37,90;Accessory-Locks
5401;Xtreme Anatomic Mens Saddle;black;1;€ 14,50;Accessory-Saddles
5402;Xtreme Anatomic Ladies Saddle;black;1;€ 14,50;Accessory-Saddles
5403;Xtreme Wide MTB Saddle;black;1;€ 14,50;Accessory-Saddles
5404;Xtreme Gellite Mens Saddle;black;2;€ 23,50;Accessory-Saddles
5405;Xtreme Gellite  Ladies Saddle;black;2;€ 23,50;Accessory-Saddles
6401;Roadster Jr BMX Saddle;black;3;€ 12,00;Accessory-Saddles
6402;Roadster Micro Mtn Saddle;black;4;€ 9,00;Accessory-Saddles
6403;Roadster Mini Mtn Saddle;black;4;€ 15,00;Accessory-Saddles
7401;Vesper Comfort ATB Saddle;black;5;€ 23,50;Accessory-Saddles
7402;Vesper Comfort Ladies Saddle;black;5;€ 23,50;Accessory-Saddles
7403;Vesper Gelflex ATB Saddle;black;6;€ 36,00;Accessory-Saddles
7404;Vesper Gelflex Ladies Saddle;black;6;€ 36,00;Accessory-Saddles
